Tickers,Source,Name
^gspc,yahoo,SPY
qqq,yahoo,qqq
NFLX,yahoo,Netflix
GOOGL,yahoo,Google
FB,yahoo,Facebook
AAPL,yahoo,Apple
AMZN,yahoo,Amazon
IAC,yahoo,IAC
MSFT,yahoo,Microsoft
SAP.DE,yahoo,SAP
NOW,yahoo,Servicenow
ADBE,yahoo,Adobe
VEEV,yahoo,Veeva
TEAM,yahoo,Atlassian
MIME,yahoo,Mimecast
PANW,yahoo,PANW
SMAR,yahoo,Smartsheet
ZS,yahoo,Zscaler
ESTC,yahoo,Elastic
SPLK,yahoo,Splunk
DATA,yahoo,Tableau
AYX,yahoo,Alteryx
OKTA,yahoo,Okta
CRM,yahoo,Salesforce
WDAY,yahoo,Workday
COUP,yahoo,Coupa
TWLO,yahoo,Twilio
SE,yahoo,Sea Ltd
1337.HK,yahoo,Razer
EA,yahoo,EA
ATVI,yahoo,Activision
TTWO,yahoo,Taketwo
SNE,yahoo,Sony
XLNX,yahoo,Xilinx
NVDA,yahoo,Nvidia
AMD,yahoo,AMD
IFX.DE,yahoo,Infineon
9434.T,yahoo,Softbank
RMS.PA,yahoo,Hermes
KER.PA,yahoo,Kering
4911.T,yahoo,Shiseido
EL,yahoo,Estee Lauder
MTN,yahoo,Vail
BAYN.DE,yahoo,Bayer
IDXX,yahoo,Idexx
ABMD,yahoo,Abiomed
EW,yahoo,EW
ISRG,yahoo,Intuitive
BABA,yahoo,Alibaba
JD,yahoo,JD
1448.HK,yahoo,Fu Shou Yuan
BLK,yahoo,Blackrock
SIM.CO,yahoo,Simcorp
V,yahoo,Visa
MA,yahoo,Mastercard
SQ,yahoo,Square
KKR,yahoo,KKR
BX,yahoo,Blackstone
CBOE,yahoo,CBOE
CME,yahoo,CME
INFO,yahoo,IHS Markit
IQV,yahoo,Iqvia
VRSK,yahoo,Verisk
TSLA,yahoo,Tesla
